鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中壢區,建物,桃園市中壢區長樂四街1~30號,0.0,住,,,1051127,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850904,89.33,3,2,2,有,有,有,12000,134,,0.0,0,,RPUPMLRJKILFFBH98CC
中壢區,建物,桃園市中壢區中豐路1~30號,0.0,住,,,1051205,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0640822,162.0,0,2,2,有,無,無,24000,148,,0.0,0,,RPWPMLSJKILFFBH66CC
楊梅區,房地(土地+建物),桃園市楊梅區高獅路822巷1~30號,435.9,,一般農業區,丁種建築用地,1051201,土地2建物1車位0,見其他登記事項,2,廠辦,工業用,鋼造,0841128,337.06,0,0,0,有,無,無,120000,356,,0.0,0,,RPROMLTJKILFFDH98CC
八德區,房地(土地+建物),桃園市八德區國豐街49巷3弄1~30號,55.3,住,,,1051126,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0841006,189.64,4,3,3,有,無,無,14000,74,,0.0,0,,RPTNMLOKKILFFFH88CC
中壢區,建物,桃園市中壢區杭州路113巷1~30號,0.0,住,,,1051128,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0951101,297.63,6,2,5,有,無,有,26000,87,,0.0,0,,RPSPMLOKKILFFBH58CC
中壢區,建物,桃園市中壢區晉元路211~240號,0.0,住,,,1051129,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661001,47.08,2,1,2,有,無,無,16000,340,,0.0,0,,RPOQMLOKKILFFBH28CC
楊梅區,房地(土地+建物),桃園市楊梅區瑞溪路二段121~150號,91.0,住,,,1051214,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1030818,222.4,6,0,4,有,無,無,40000,180,,0.0,0,,RPUNMLQKKILFFDH09DC
八德區,房地(土地+建物)+車位,桃園市八德區東勇街400巷165弄1~30號,81.05,,特定農業區,甲種建築用地,1051118,土地1建物1車位2,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0830825,249.04,5,2,3,有,無,有,20000,80,其他,0.0,0,,RPQNMLTKKILFFFH09CC
平鎮區,建物,桃園市平鎮區建明路4巷1~30號,0.0,其他,,,1051208,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0690906,101.0,4,1,3,有,有,無,10000,99,,0.0,0,,RPTPMLNLKILFFGH56CC
平鎮區,建物,桃園市平鎮區振興路61~90號,0.0,住,,,1051208,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0670213,245.9,4,1,3,有,無,無,20000,81,,0.0,0,,RPUPMLNLKILFFGH66CC
中壢區,建物,桃園市中壢區華勛街309巷35弄1~30號,0.0,住,,,1051205,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661001,81.5,2,1,2,有,無,無,13000,160,,0.0,0,,RPPQMLNLKILFFBH38CC
中壢區,建物,桃園市中壢區自強一路1~30號,0.0,工,,,1051206,土地0建物1車位0,見其他登記事項,2,工廠,工業用,加強磚造,0590216,1335.54,0,0,0,無,無,有,247619,,,0.0,0,,RPTQMLNLKILFFBH78CC
桃園區,房地(土地+建物),桃園市桃園區同德十一街1~30號,107.0,住,,,1051219,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0950328,390.49,7,2,4,有,無,無,75000,192,,0.0,0,,RPUNMLNLKILFFAH48CC
平鎮區,房地(土地+建物),桃園市平鎮區南京路91~120號,108.83,住,,,1051201,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0971028,310.11,3,2,2,有,無,有,28000,90,,0.0,0,,RPUNMLOLKILFFGH66DC
平鎮區,建物,桃園市平鎮區南東路215巷47弄1~30號,94.01,住,,,1051203,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1030423,188.12,3,2,2,有,無,有,25000,133,,0.0,0,,RPVNMLOLKILFFGH76DC
桃園區,房地(土地+建物),桃園市桃園區國強十三街1~30號,110.0,住,,,1051212,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0760218,128.37,4,2,3,有,無,有,17000,132,,0.0,0,,RPQPMLSLKILFFAH88DC
中壢區,建物,桃園市中壢區廈門街31~60號,0.0,住,,,1051214,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0710920,166.77,4,1,3,有,無,無,23000,138,,0.0,0,,RPXRMLNJJHMFFBH98CC
中壢區,建物,桃園市中壢區新興路91~120號,0.0,商,,,1051208,土地0建物1車位0,見其他登記事項,4,店面(店鋪),商業用,鋼筋混凝土造,0661108,492.3,0,0,0,無,無,無,55000,112,,0.0,0,,RPTOMLPJJHMFFBH48CC
八德區,房地(土地+建物),桃園市八德區廣福路451~480號,86.07,,特定農業區,甲種建築用地,1051218,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940802,236.28,4,3,4,有,無,有,30000,127,,0.0,0,,RPRQMLKKJHMFFFH58DC
平鎮區,建物,桃園市平鎮區大興街88巷31~60號,0.0,住,,,1051222,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1001118,221.65,5,2,4,有,無,無,22000,99,,0.0,0,,RPTOMLLKJHMFFGH68CC
中壢區,建物,桃園市中壢區忠孝路345巷1~30號,0.0,住,,,1051221,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661215,74.34,2,1,2,有,無,無,15000,202,,0.0,0,,RPSQMLLKJHMFFBH28CC
蘆竹區,房地(土地+建物),桃園市蘆竹區南竹路五段151~180號,48.88,住,,,1051227,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0780403,130.2,0,0,0,無,無,無,21000,161,,0.0,0,,RPUOMLNKJHMFFEH88DC
楊梅區,建物,桃園市楊梅區永美路91~120號,0.0,住,,,1060107,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0760705,126.86,2,1,2,有,無,無,21000,166,,0.0,0,,RPRPMLRKJHMFFDH88CC
八德區,房地(土地+建物),桃園市八德區豐田三路31~60號,101.21,住,,,1060116,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1011106,254.95,3,3,4,有,無,有,19000,75,,0.0,0,,RPQOMLSKJHMFFFH09DC
八德區,房地(土地+建物),桃園市八德區建興街1~30號,69.45,住,,,1060109,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0700615,93.48,3,2,2,有,無,有,14000,150,,0.0,0,,RPROMLSKJHMFFFH56DC
八德區,房地(土地+建物),桃園市八德區郵局街6巷1弄1~30號,37.64,住,,,1060111,土地1建物0車位0,見其他登記事項,2,公寓(5樓含以下無電梯),住家用,加強磚造,0610310,15.61,0,0,0,無,無,有,7500,480,,0.0,0,,RPSOMLSKJHMFFFH66DC
中壢區,建物,桃園市中壢區合圳北路二段331~360號,0.0,工,,,1060106,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0970121,197.31,5,2,4,有,有,有,18350,93,,0.0,0,,RPSQMLSKJHMFFBH98CC
蘆竹區,房地(土地+建物),桃園市蘆竹區內溪路68巷31~60號,425.27,工,,,1060106,土地2建物3車位0,見其他登記事項,2,工廠,見其他登記事項,見其他登記事項,1010820,549.98,0,0,0,無,無,無,75000,,,0.0,0,,RPPOMLSKJHMFFEH78CC
楊梅區,建物,桃園市楊梅區中山南路661~690號,0.0,農,,,1060108,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1000415,202.0,5,2,4,有,無,有,28000,139,,0.0,0,,RPWRMLTKJHMFFDH17CC
新屋區,房地(土地+建物),桃園市新屋區新文路1227巷150弄1~30號,80.82,,特定農業區,甲種建築用地,1060109,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0900507,160.12,3,2,2,有,無,無,12500,78,,0.0,0,,RPUOMLKLJHMFFDH58DC
中壢區,建物,桃園市中壢區中華路一段835巷68弄31~60號,0.0,工,,,1060107,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1021107,170.8,5,2,4,有,無,有,25000,146,,0.0,0,,RPPPMLKLJHMFFBH87CC
平鎮區,房地(土地+建物),桃園市平鎮區大連街154巷1~30號,58.87,商,,,1051222,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0821026,168.48,3,2,2,有,無,有,12000,71,,0.0,0,,RPUOMLNLJHMFFGH66EC
