鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹北市,建物,新竹縣竹北市東興路一段61~90號,0.0,,,,1050906,土地0建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1041123,419.2,12,12,12,有,無,16000000,38168,,0.0,0,,RPUNMLTJJHMFFBJ88CA
湖口鄉,建物,新竹縣湖口鄉光明街31~60號,0.0,,,,1051215,土地0建物1車位0,全,三層,透天厝,住家用,加強磚造,,47.1,5,2,3,有,無,700000,14862,,0.0,0,2親等內買賣,RPTNMLTJJHMFFDJ09DA
芎林鄉,土地,上德段271~300地號,458.87,住,,,1051219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27348652,59600,,0.0,0,縣府區段徵收區土地標售，權利人有2人,RPUNMLMJKHMFFCJ58EA
峨眉鄉,土地,富興段水流東小段181~210地號,2339.33,,山坡地保育區,農牧用地,1051209,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,920000,393,,0.0,0,親友間之交易。,RPPNMLLJKHMFFCJ77CA
峨眉鄉,土地,富興段水流東小段331~360地號,4191.0,,山坡地保育區,農牧用地,1051209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640000,391,,0.0,0,親友間之交易。,RPQNMLLJKHMFFCJ87CA
峨眉鄉,土地,富興段水流東小段181~210地號,5652.0,,山坡地保育區,農牧用地,1051209,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2210000,391,,0.0,0,親友間之交易。,RPRNMLLJKHMFFCJ97CA
峨眉鄉,土地,富興段水流東小段181~210地號,4380.0,,山坡地保育區,農牧用地,1051209,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1710000,390,,0.0,0,親友間之交易。,RPSNMLLJKHMFFCJ08CA
峨眉鄉,土地,富興段水流東小段241~270地號,16626.0,,山坡地保育區,農牧用地,1051209,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,391,,0.0,0,親友間之交易。,RPTNMLLJKHMFFCJ18CA
寶山鄉,建物,新竹縣寶山鄉創新一路1~30號,0.0,,,,1051223,土地0建物1車位0,一層，二層，三層，四層，五層，六層，七層，地下一層，地下二層,七層,廠辦,見其他登記事項,鋼筋混凝土造,,14888.08,0,0,0,無,無,270000000,18135,,0.0,0,,RPPNMLPKJHMFFCJ18CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮學府東路315巷20弄1~30號,128.64,,山坡地保育區,丙種建築用地,1051123,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940429,202.88,4,2,4,有,有,10500000,51755,,0.0,0,,RPQNMLQLJHMFFCJ48CA
